idea	picture
GLP_idea_libertarian_courts	generic_morale_bonus
GLP_idea_logistics_mastery	generic_morale_bonus
GLP_idea_makhno_illness	SPR_anarchist_society
GLP_idea_makhno_myth	SPR_anarchist_society
GLP_idea_mass_assault	generic_morale_bonus
GLP_idea_mechanized_agriculture	generic_agrarian_reform
GLP_idea_merchant_raiders	generic_morale_bonus
GLP_idea_military_junta	generic_disjointed_gov
GLP_idea_militia_patrols	generic_morale_bonus
GLP_idea_moscow_grain_tribute	generic_agrarian_reform
GLP_idea_motor_transport	generic_production_bonus
GLP_idea_nabat_disloyal	SPR_anarchist_society
GLP_idea_new_culture	SPR_masters_of_our_own_fate
GLP_idea_occupied_kiev_soviet	generic_communism_drift_bonus
GLP_idea_partisan_camps_timed	SPR_class_war
GLP_idea_partisan_cells	SPR_class_war
GLP_idea_partisan_doctrine	SPR_class_war
GLP_idea_population_growth	generic_morale_bonus
GLP_idea_productivity_bonuses	generic_morale_bonus
GLP_idea_rapid_rail_deployment	generic_morale_bonus
GLP_idea_recognized_border	generic_infantry_bonus
GLP_idea_resistance_coordination	generic_morale_bonus
GLP_idea_revvoensovet_coordination	generic_morale_bonus
GLP_idea_revvoensovet_partisan_command	SPR_class_war
GLP_idea_revvoensovet_total_preparedness	generic_morale_bonus
GLP_idea_rural_healthcare	generic_manpower_bonus
GLP_idea_sanitary_battalions	generic_manpower_bonus
GLP_idea_shadow_war	SPR_class_war
GLP_idea_spanish_brigade	SPR_collectivized_society
GLP_idea_special_ops	generic_morale_bonus
GLP_idea_sports_militarization	SPR_masters_of_our_own_fate
GLP_idea_steel_ram	generic_acquire_tanks
GLP_idea_steppe_lightning	generic_morale_bonus
GLP_idea_steppe_warfare	SPR_class_war
GLP_idea_steppes_breadbasket	generic_agrarian_reform
GLP_idea_strategic_reserves	generic_infantry_bonus
GLP_idea_supply_depots	generic_morale_bonus
GLP_idea_syndicalist_paradise	generic_morale_bonus
GLP_idea_tech_supremacy	generic_research_bonus
GLP_idea_textile_syndicates	generic_production_bonus
GLP_idea_total_militarization	generic_morale_bonus
GLP_idea_triumph_of_liberty	SPR_anarchist_society
GLP_idea_ukrainian_coal_and_grain	generic_agrarian_reform
GLP_idea_underground_armories	generic_acquire_tanks
GLP_idea_underground_railway	generic_morale_bonus
GLP_idea_underground_state	generic_morale_bonus
GLP_idea_white_emigre_officers	generic_victors_of_ww1
GLP_idea_white_volunteers	generic_victors_of_ww1
GLP_idea_womens_emancipation	SPR_masters_of_our_own_fate
GLP_idea_worker_faculties	generic_communism_drift_bonus
GLP_idea_workplace_democracy	generic_communism_drift_bonus
GLP_idea_world_anarchy	SPR_anarchist_society
GLP_idea_zadov_network	generic_secret_police
GLP_international_support	generic_volunteer_expedition_bonus
GLP_krupp_rearmament	generic_foreign_capital
GLP_prussian_drill_discipline	generic_victors_of_ww1
GLP_soviet_heavy_industry_support	generic_production_bonus
GLP_soviet_industrial_aid	generic_communism_drift_bonus
GLP_spanish_veterans	generic_victors_of_ww1
GLP_voice_of_aragon	SPR_collectivized_society
