# GLP focus -> vanilla BASE-GAME focus icon mapping (v2, по каталогу
# https://wyandotte.github.io/hoi4-icon-search/ ).
# Каждый спрайт проверен по ванильному interface/goals.gfx:
#   * дамп 1.7.1 "Hydra" (41 GFX_focus_generic_* + 70 GFX_goal_generic_*)
#   * дамп 1.14.10 (299 GFX_focus_generic_* + GFX_focus_rocketry)
# Paradox не удаляет имена спрайтов, поэтому всё перечисленное
# гарантированно есть в базовой игре 1.19 без каких-либо DLC.
# Формат: focus_id<TAB>icon
GLP_textile_syndicates	GFX_focus_generic_mass_production
GLP_food_processing	GFX_focus_generic_farmland
GLP_chemical_industry	GFX_focus_generic_rubber
GLP_steel_production	GFX_focus_generic_steel
GLP_fuel_synthesis	GFX_focus_generic_stockpile_fuel
GLP_economic_independence	GFX_goal_generic_trade
GLP_autarkic_paradise	GFX_focus_generic_modernize_industry
GLP_signal_intelligence	GFX_goal_generic_radar
GLP_cryptanalysis_unit	GFX_focus_generic_cryptologic_bomb
GLP_frontline_recon	GFX_goal_generic_position_armies
GLP_agent_networks	GFX_focus_generic_secret_service_agency
GLP_disinformation_campaigns	GFX_goal_generic_propaganda
GLP_special_operations	GFX_goal_generic_special_forces
GLP_commando_raids	GFX_focus_generic_self_propelled_gun
GLP_behind_enemy_lines	GFX_goal_generic_occupy_states_ongoing_war
GLP_shadow_war	GFX_goal_generic_major_war
GLP_field_hospitals	GFX_focus_generic_field_hostpital
GLP_medical_training	GFX_focus_generic_military_academy
GLP_sanitary_battalions	GFX_focus_generic_field_hostpital
GLP_hospital_trains	GFX_focus_generic_supply_line
GLP_population_growth	GFX_focus_generic_population_growth
GLP_railway_expansion	GFX_focus_generic_railroad
GLP_motor_transport	GFX_focus_generic_truck
GLP_supply_depot_system	GFX_focus_generic_reinforcing_the_supply_network
GLP_logistics_mastery	GFX_focus_generic_supply_line
GLP_border_fortifications	GFX_focus_generic_coastal_fort
GLP_anti_tank_defenses	GFX_focus_generic_anti_tank_guns
GLP_bunker_network	GFX_goal_generic_fortify_city
GLP_defense_in_depth	GFX_focus_generic_defensive_reorganization
GLP_crimean_development	GFX_focus_generic_public_works
GLP_crimean_oil_fields	GFX_focus_generic_offshore_oil_rig
GLP_shipbuilding_yards	GFX_goal_generic_construct_naval_dockyard
GLP_strategic_reserves	GFX_focus_generic_mass_production
GLP_factory_committees	GFX_focus_generic_workers
GLP_workplace_democracy	GFX_focus_generic_self_management
GLP_productivity_bonuses	GFX_focus_generic_mass_production
GLP_syndicalist_paradise	GFX_focus_generic_industry_2
GLP_womens_emancipation	GFX_focus_generic_universal_suffrage
GLP_female_combat_units	GFX_focus_generic_women_in_military
GLP_womens_leadership	GFX_focus_generic_universal_suffrage
GLP_gender_equality	GFX_focus_generic_universal_suffrage
GLP_cossack_heritage	GFX_goal_generic_cavalry
GLP_horse_breeding	GFX_focus_generic_horse_studs
GLP_steppe_warfare_school	GFX_goal_generic_army_doctrines
GLP_cossack_glory	GFX_goal_generic_special_forces
GLP_deep_battle_doctrine	GFX_focus_generic_army_doctrines_2
GLP_mass_assault_tactics	GFX_focus_generic_total_war
GLP_elite_guard_formations	GFX_goal_generic_special_forces
GLP_combined_arms_mastery	GFX_focus_generic_combined_arms
GLP_heavy_industry_push	GFX_focus_generic_military_industry
GLP_civilian_industry_expansion	GFX_goal_generic_construct_civ_factory
GLP_military_production_surge	GFX_focus_generic_mass_production
GLP_industrial_powerhouse	GFX_focus_generic_industry_3
GLP_balkan_anarchist_federation	GFX_focus_generic_balkan_diplomacy
GLP_support_turkish_leftists	GFX_focus_generic_anti_fascist_diplomacy
GLP_persian_revolutionary_aid	GFX_focus_generic_military_mission
GLP_global_anarchist_network	GFX_goal_generic_military_sphere
GLP_mechanized_agriculture	GFX_focus_generic_mechanized
GLP_collective_farming	GFX_focus_generic_agricultural_subsidies
GLP_agricultural_research	GFX_focus_generic_socialist_science
GLP_breadbasket_of_europe	GFX_focus_generic_farmland
GLP_counter_espionage_network	GFX_focus_generic_secret_service_agency
GLP_border_security	GFX_focus_generic_national_security
GLP_internal_security_directorate	GFX_goal_generic_political_pressure
GLP_impregnable_intelligence	GFX_focus_generic_cryptologic_bomb
GLP_full_employment	GFX_focus_generic_full_employment
GLP_technological_education	GFX_focus_generic_university_1
GLP_infrastructure_modernization	GFX_focus_generic_improve_roads
GLP_economic_miracle	GFX_focus_generic_economic_recovery
GLP_cossack_officer_corps	GFX_focus_generic_military_academy
GLP_cossack_cavalry_divisions	GFX_goal_generic_cavalry
GLP_cossack_traditions_preserved	GFX_goal_generic_national_unity
GLP_cossack_legacy	GFX_goal_generic_defence
