# GLP focus -> in-game focus-search chips (HOI4 1.19).
#
# `search_filters` in common/national_focus/GLP_focus.txt must match this
# table exactly -- tools/glp_audit.py enforces it, so a newly added focus
# cannot silently drop out of the focus search panel.
#
# Only the seven GENERIC vanilla tokens are used; the country/DLC-specific
# ones (CHI_INFLATION, USA_CONGRESS, TFV_AUTONOMY, MEX_*, SPA_*, FRA_*)
# belong to other nations' UI and would render a meaningless chip here.
#
# Regenerate with:  tools/assign_focus_filters.py --write-tsv
# Apply to the tree: tools/assign_focus_filters.py --apply
#
# focus_id	FOCUS_FILTER_*
GLP_joint_red_black_military_academy	FOCUS_FILTER_RESEARCH FOCUS_FILTER_MANPOWER
GLP_wehrmacht_tactical_instructors	FOCUS_FILTER_POLITICAL FOCUS_FILTER_MANPOWER
GLP_sevastopol_naval_refit_with_royal_navy	FOCUS_FILTER_RESEARCH FOCUS_FILTER_MANPOWER
GLP_eurasian_red_black_vanguard	FOCUS_FILTER_POLITICAL FOCUS_FILTER_WAR_SUPPORT
GLP_black_cross_of_the_steppes	FOCUS_FILTER_POLITICAL
GLP_bastion_of_free_nations	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_MANPOWER
GLP_free_will	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY FOCUS_FILTER_WAR_SUPPORT
GLP_old_enemies_unite	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY FOCUS_FILTER_MANPOWER
GLP_international_brigades	FOCUS_FILTER_MANPOWER
GLP_black_cross_aid	FOCUS_FILTER_STABILITY
GLP_makhno_myth	FOCUS_FILTER_RESEARCH FOCUS_FILTER_STABILITY FOCUS_FILTER_WAR_SUPPORT
GLP_peasant_grain_supplies	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY
GLP_bread_for_cities_and_front	FOCUS_FILTER_STABILITY
GLP_communal_granaries	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY FOCUS_FILTER_MANPOWER
GLP_tractor_stations_for_communes	FOCUS_FILTER_RESEARCH FOCUS_FILTER_MANPOWER
GLP_land_to_the_tillers_decree	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY
GLP_free_libertarian_schools	FOCUS_FILTER_RESEARCH
GLP_rural_healthcare_network	FOCUS_FILTER_STABILITY FOCUS_FILTER_MANPOWER
GLP_steppes_breadbasket	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY
GLP_peasant_intellectual_harmony	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY
GLP_flourishing_free_countryside	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY FOCUS_FILTER_MANPOWER
GLP_fourth_congress_of_peasants	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY FOCUS_FILTER_WAR_SUPPORT
GLP_federation_of_free_soviets	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY
GLP_black_military_dictatorship	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY FOCUS_FILTER_WAR_SUPPORT
GLP_black_international	FOCUS_FILTER_POLITICAL
GLP_total_militarization_of_communes	FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER
GLP_aid_to_spanish_anarchists	FOCUS_FILTER_POLITICAL FOCUS_FILTER_MANPOWER
GLP_black_crescent_of_the_steppes	FOCUS_FILTER_STABILITY FOCUS_FILTER_WAR_SUPPORT
GLP_anti_state_continental_crusade	FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_ANNEXATION
GLP_declaration_of_world_anarchy	FOCUS_FILTER_STABILITY FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_ANNEXATION
GLP_triumph_of_free_humanity	FOCUS_FILTER_STABILITY FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER
GLP_sevastopol_naval_base	FOCUS_FILTER_ANNEXATION
GLP_revolutionary_destroyers	FOCUS_FILTER_RESEARCH FOCUS_FILTER_MANPOWER
GLP_submarine_flotilla	FOCUS_FILTER_RESEARCH FOCUS_FILTER_MANPOWER
GLP_naval_infantry_marines	FOCUS_FILTER_MANPOWER FOCUS_FILTER_ANNEXATION
GLP_coastal_defense_batteries	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_MANPOWER
GLP_black_sea_dominance	FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER FOCUS_FILTER_ANNEXATION
GLP_merchant_raider_fleet	FOCUS_FILTER_INDUSTRY
GLP_naval_aviation	FOCUS_FILTER_RESEARCH
GLP_glory_of_the_sea	FOCUS_FILTER_RESEARCH FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER
GLP_steppe_air_corps	FOCUS_FILTER_RESEARCH FOCUS_FILTER_MANPOWER
GLP_fighter_squadrons	FOCUS_FILTER_RESEARCH
GLP_bomber_wings	FOCUS_FILTER_RESEARCH
GLP_air_reconnaissance	FOCUS_FILTER_RESEARCH
GLP_anti_air_defense	FOCUS_FILTER_RESEARCH FOCUS_FILTER_MANPOWER
GLP_air_superiority_doctrine	FOCUS_FILTER_RESEARCH
GLP_ground_attack_planes	FOCUS_FILTER_RESEARCH FOCUS_FILTER_WAR_SUPPORT
GLP_strategic_bombing	FOCUS_FILTER_RESEARCH
GLP_mastery_of_the_skies	FOCUS_FILTER_RESEARCH FOCUS_FILTER_WAR_SUPPORT
GLP_captured_equipment_study	FOCUS_FILTER_POLITICAL FOCUS_FILTER_INDUSTRY
GLP_radio_technology	FOCUS_FILTER_RESEARCH
GLP_improved_weapons	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_MANPOWER
GLP_armor_research	FOCUS_FILTER_RESEARCH FOCUS_FILTER_MANPOWER
GLP_advanced_metallurgy	FOCUS_FILTER_INDUSTRY
GLP_rocket_science	FOCUS_FILTER_RESEARCH FOCUS_FILTER_WAR_SUPPORT
GLP_computing_machines	FOCUS_FILTER_RESEARCH
GLP_jet_engines	FOCUS_FILTER_RESEARCH
GLP_technological_supremacy	FOCUS_FILTER_POLITICAL FOCUS_FILTER_RESEARCH
GLP_free_universities	FOCUS_FILTER_RESEARCH FOCUS_FILTER_STABILITY
GLP_worker_faculties	FOCUS_FILTER_RESEARCH
GLP_revolutionary_theater	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY FOCUS_FILTER_WAR_SUPPORT
GLP_cinema_propaganda	FOCUS_FILTER_RESEARCH FOCUS_FILTER_STABILITY
GLP_literacy_campaign	FOCUS_FILTER_RESEARCH FOCUS_FILTER_STABILITY FOCUS_FILTER_MANPOWER
GLP_sports_militarization	FOCUS_FILTER_RESEARCH FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER
GLP_philosophy_of_freedom	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY
GLP_cultural_enlightenment	FOCUS_FILTER_STABILITY
GLP_new_soviet_culture	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY
GLP_underground_railway	FOCUS_FILTER_INDUSTRY
GLP_safe_houses_network	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY FOCUS_FILTER_MANPOWER
GLP_coded_communications	FOCUS_FILTER_RESEARCH
GLP_sabotage_training	FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER
GLP_partisan_cells	FOCUS_FILTER_MANPOWER
GLP_weapon_caches	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_MANPOWER
GLP_double_agents	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY
GLP_resistance_coordination	FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER
GLP_underground_state	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY FOCUS_FILTER_MANPOWER
GLP_self_sufficient_economy	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY
GLP_local_mining_operations	FOCUS_FILTER_INDUSTRY
GLP_textile_syndicates	FOCUS_FILTER_INDUSTRY
GLP_food_processing	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY FOCUS_FILTER_MANPOWER
GLP_chemical_industry	FOCUS_FILTER_INDUSTRY
GLP_steel_production	FOCUS_FILTER_INDUSTRY
GLP_fuel_synthesis	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_WAR_SUPPORT
GLP_economic_independence	FOCUS_FILTER_POLITICAL FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY
GLP_autarkic_paradise	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY
GLP_signal_intelligence	FOCUS_FILTER_RESEARCH
GLP_cryptanalysis_unit	FOCUS_FILTER_RESEARCH
GLP_frontline_recon	FOCUS_FILTER_MANPOWER
GLP_agent_networks	FOCUS_FILTER_POLITICAL
GLP_disinformation_campaigns	FOCUS_FILTER_POLITICAL FOCUS_FILTER_WAR_SUPPORT
GLP_special_operations	FOCUS_FILTER_MANPOWER
GLP_commando_raids	FOCUS_FILTER_RESEARCH FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER
GLP_behind_enemy_lines	FOCUS_FILTER_MANPOWER FOCUS_FILTER_ANNEXATION
GLP_shadow_war	FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_ANNEXATION
GLP_field_hospitals	FOCUS_FILTER_STABILITY FOCUS_FILTER_MANPOWER
GLP_medical_training	FOCUS_FILTER_RESEARCH FOCUS_FILTER_STABILITY FOCUS_FILTER_MANPOWER
GLP_sanitary_battalions	FOCUS_FILTER_STABILITY FOCUS_FILTER_MANPOWER
GLP_hospital_trains	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_MANPOWER
GLP_population_growth	FOCUS_FILTER_STABILITY FOCUS_FILTER_MANPOWER
GLP_railway_expansion	FOCUS_FILTER_INDUSTRY
GLP_motor_transport	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_MANPOWER
GLP_supply_depot_system	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_MANPOWER
GLP_logistics_mastery	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_MANPOWER
GLP_border_fortifications	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_MANPOWER
GLP_anti_tank_defenses	FOCUS_FILTER_RESEARCH FOCUS_FILTER_MANPOWER
GLP_bunker_network	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_MANPOWER
GLP_defense_in_depth	FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER
GLP_crimean_development	FOCUS_FILTER_INDUSTRY
GLP_crimean_oil_fields	FOCUS_FILTER_INDUSTRY
GLP_shipbuilding_yards	FOCUS_FILTER_INDUSTRY
GLP_strategic_reserves	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY
GLP_factory_committees	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY
GLP_workplace_democracy	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY
GLP_productivity_bonuses	FOCUS_FILTER_INDUSTRY
GLP_syndicalist_paradise	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY
GLP_womens_emancipation	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY FOCUS_FILTER_MANPOWER
GLP_female_combat_units	FOCUS_FILTER_STABILITY FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER
GLP_womens_leadership	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY
GLP_gender_equality	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY FOCUS_FILTER_MANPOWER
GLP_cossack_heritage	FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER
GLP_horse_breeding	FOCUS_FILTER_MANPOWER
GLP_steppe_warfare_school	FOCUS_FILTER_MANPOWER
GLP_cossack_glory	FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER
GLP_deep_battle_doctrine	FOCUS_FILTER_RESEARCH FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER
GLP_mass_assault_tactics	FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER
GLP_elite_guard_formations	FOCUS_FILTER_MANPOWER
GLP_combined_arms_mastery	FOCUS_FILTER_RESEARCH FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER
GLP_heavy_industry_push	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY
GLP_civilian_industry_expansion	FOCUS_FILTER_INDUSTRY
GLP_military_production_surge	FOCUS_FILTER_INDUSTRY
GLP_industrial_powerhouse	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY
GLP_balkan_anarchist_federation	FOCUS_FILTER_POLITICAL FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER
GLP_support_turkish_leftists	FOCUS_FILTER_POLITICAL
GLP_persian_revolutionary_aid	FOCUS_FILTER_POLITICAL FOCUS_FILTER_MANPOWER
GLP_global_anarchist_network	FOCUS_FILTER_POLITICAL FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_ANNEXATION
GLP_mechanized_agriculture	FOCUS_FILTER_RESEARCH FOCUS_FILTER_STABILITY FOCUS_FILTER_MANPOWER
GLP_collective_farming	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY
GLP_agricultural_research	FOCUS_FILTER_RESEARCH
GLP_breadbasket_of_europe	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY FOCUS_FILTER_MANPOWER
GLP_counter_espionage_network	FOCUS_FILTER_POLITICAL
GLP_border_security	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY
GLP_internal_security_directorate	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY
GLP_impregnable_intelligence	FOCUS_FILTER_RESEARCH FOCUS_FILTER_STABILITY
GLP_full_employment	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY
GLP_technological_education	FOCUS_FILTER_RESEARCH
GLP_infrastructure_modernization	FOCUS_FILTER_INDUSTRY
GLP_economic_miracle	FOCUS_FILTER_INDUSTRY FOCUS_FILTER_STABILITY
GLP_cossack_officer_corps	FOCUS_FILTER_RESEARCH FOCUS_FILTER_MANPOWER
GLP_cossack_cavalry_divisions	FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER
GLP_cossack_traditions_preserved	FOCUS_FILTER_POLITICAL FOCUS_FILTER_STABILITY FOCUS_FILTER_WAR_SUPPORT
GLP_cossack_legacy	FOCUS_FILTER_WAR_SUPPORT FOCUS_FILTER_MANPOWER
